timestamp,time,actionEye,actionUperFace,powerUpperFace,actionLowerFace,powerLowerFace
1739917871,31:11.1,neutral,frown,0.95,clench,0.8
1739917871,31:11.2,neutral,frown,0.95,clench,0.8
1739917871,31:11.2,neutral,frown,0.95,clench,0.8
1739917871,31:11.2,neutral,frown,0.95,clench,0.8
1739917871,31:11.3,neutral,frown,0.95,clench,0.8
1739917871,31:11.3,neutral,frown,0.95,clench,0.8
1739917871,31:11.3,neutral,frown,0.95,clench,0.8
1739917871,31:11.4,neutral,frown,0.95,clench,0.8
1739917871,31:11.4,neutral,frown,0.95,clench,0.8
1739917871,31:11.4,neutral,frown,0.95,clench,0.8
1739917871,31:11.5,neutral,frown,0.95,clench,0.8
1739917871,31:11.5,neutral,frown,0.95,clench,0.8
1739917872,31:11.5,neutral,frown,0.95,clench,0.8
1739917872,31:11.5,neutral,frown,0.95,clench,0.8
1739917872,31:11.6,neutral,frown,0.95,clench,0.8
1739917872,31:11.6,neutral,frown,0.95,clench,0.8
1739917872,31:11.6,neutral,frown,0.95,clench,0.8
1739917872,31:11.7,neutral,frown,0.95,clench,0.8
1739917872,31:11.7,neutral,frown,0.95,clench,0.8
1739917872,31:11.7,neutral,frown,0.95,clench,0.8
1739917872,31:11.8,neutral,frown,0.95,clench,0.8
1739917872,31:11.8,neutral,frown,0.95,clench,0.8
1739917872,31:11.8,neutral,frown,0.95,clench,0.8
1739917872,31:11.9,neutral,frown,0.95,clench,0.8
1739917872,31:11.9,neutral,frown,0.95,clench,0.8
1739917872,31:11.9,neutral,frown,0.95,clench,0.8
1739917872,31:12.0,neutral,frown,0.95,clench,0.8
1739917872,31:12.0,neutral,frown,0.95,clench,0.8
1739917872,31:12.0,neutral,frown,0.95,clench,0.8
1739917872,31:12.0,neutral,frown,0.95,clench,0.8
1739917872,31:12.1,neutral,frown,0.95,clench,0.8
1739917872,31:12.1,neutral,frown,0.95,clench,0.8
1739917872,31:12.1,neutral,frown,0.95,clench,0.8
1739917872,31:12.2,neutral,frown,0.95,clench,0.8
1739917872,31:12.2,neutral,frown,0.95,clench,0.8
1739917872,31:12.2,neutral,frown,0.95,clench,0.8
1739917872,31:12.3,neutral,frown,0.95,clench,0.8
1739917872,31:12.3,neutral,frown,0.95,clench,0.8
1739917872,31:12.3,neutral,frown,0.95,clench,0.8
1739917872,31:12.4,neutral,frown,0.95,clench,0.8
1739917872,31:12.4,neutral,frown,0.95,clench,0.8
1739917872,31:12.4,neutral,frown,0.95,clench,0.8
1739917872,31:12.5,neutral,frown,0.95,clench,0.8
1739917872,31:12.5,neutral,frown,0.95,clench,0.8
1739917873,31:12.5,neutral,frown,0.95,clench,0.8
1739917873,31:12.5,neutral,frown,0.95,clench,0.8
1739917873,31:12.6,neutral,frown,0.95,clench,0.8
1739917873,31:12.6,neutral,frown,0.95,clench,0.8
1739917873,31:12.6,neutral,frown,0.95,clench,0.8
1739917873,31:12.7,neutral,frown,0.95,clench,0.8
1739917873,31:12.7,neutral,frown,0.95,clench,0.8
1739917873,31:12.7,neutral,frown,0.95,clench,0.8
1739917873,31:12.8,neutral,frown,0.95,clench,0.8
1739917873,31:12.8,neutral,frown,0.95,clench,0.8
1739917873,31:12.8,neutral,frown,0.95,clench,0.8
1739917873,31:12.9,neutral,frown,0.95,clench,0.8
1739917873,31:12.9,neutral,frown,0.95,clench,0.8
1739917873,31:12.9,neutral,frown,0.95,clench,0.8
1739917873,31:13.0,neutral,frown,0.95,clench,0.8
1739917873,31:13.0,neutral,frown,0.95,clench,0.8
1739917873,31:13.0,neutral,frown,0.95,clench,0.8
1739917873,31:13.0,neutral,frown,0.95,clench,0.8
1739917873,31:13.1,neutral,frown,0.95,clench,0.8
1739917873,31:13.1,neutral,frown,0.95,clench,0.8
1739917873,31:13.1,neutral,frown,0.95,clench,0.8
1739917873,31:13.2,neutral,frown,0.95,clench,0.8
1739917873,31:13.2,neutral,frown,0.95,clench,0.8
1739917873,31:13.2,neutral,frown,0.95,clench,0.8
1739917873,31:13.3,neutral,frown,0.95,clench,0.8
1739917873,31:13.3,neutral,frown,0.95,clench,0.8
1739917873,31:13.3,neutral,frown,0.95,clench,0.8
1739917873,31:13.4,neutral,frown,0.95,clench,0.8
1739917873,31:13.4,neutral,frown,0.95,clench,0.8
1739917873,31:13.4,neutral,frown,0.95,clench,0.8
1739917873,31:13.5,neutral,frown,0.95,clench,0.8
1739917873,31:13.5,neutral,frown,0.95,clench,0.8
1739917874,31:13.5,neutral,frown,0.95,clench,0.8
1739917874,31:13.5,neutral,frown,0.95,clench,0.8
1739917874,31:13.6,neutral,frown,0.95,clench,0.8
1739917874,31:13.6,neutral,frown,0.95,clench,0.8
1739917874,31:13.6,neutral,frown,0.95,clench,0.8
1739917874,31:13.7,neutral,frown,0.95,clench,0.8
1739917874,31:13.7,neutral,frown,0.95,clench,0.8
1739917874,31:13.7,neutral,frown,0.95,clench,0.8
1739917874,31:13.8,neutral,frown,0.95,clench,0.8
1739917874,31:13.8,neutral,frown,0.95,clench,0.8
1739917874,31:13.8,neutral,frown,0.95,clench,0.8
1739917874,31:13.9,neutral,frown,0.95,clench,0.8
1739917874,31:13.9,neutral,frown,0.95,clench,0.8
1739917874,31:13.9,neutral,frown,0.95,clench,0.8
1739917874,31:14.0,neutral,frown,0.95,clench,0.8
1739917874,31:14.0,neutral,frown,0.95,clench,0.8
1739917874,31:14.0,neutral,frown,0.95,clench,0.8
